Year,Player,League,DomesticCup ,EuropeanCup
2003,Ronaldo,No,No,No
2004,Ronaldo,No,Yes,No
2005,Ronaldo,No,No,No
2005,Messi,Yes,No,No
2006,Ronaldo,No,No,No
2006,Messi,Yes,No,Yes
2007,Ronaldo,Yes,No,No
2007,Messi,No,No,No
2008,Ronaldo,Yes,No,Yes
2008,Messi,No,No,No
2009,Ronaldo,Yes,No,No
2009,Messi,Yes,Yes,Yes
2010,Ronaldo,No,No,No
2010,Messi,Yes,No,No
2011,Ronaldo,No,Yes,No
2011,Messi,Yes,No,Yes
2012,Ronaldo,Yes,No,No
2012,Messi,No,Yes,No
2013,Ronaldo,No,No,No
2013,Messi,Yes,No,No
2014,Ronaldo,No,Yes,Yes
2014,Messi,No,No,No
2015,Ronaldo,No,No,No
2015,Messi,Yes,Yes,Yes
2016,Ronaldo,No,No,Yes
2016,Messi,Yes,Yes,No
2017,Ronaldo,Yes,No,Yes
2017,Messi,No,Yes,No
2018,Ronaldo,No,No,Yes
2018,Messi,Yes,Yes,No
2019,Ronaldo,Yes,No,No
2019,Messi,Yes,No,No